Source-CPFAnchor-ID	SNAC-CPFAnchor-ID	Role	ArcRole	Source-CPFTarget-ID	SNAC-CPFTarget-ID
nypl2019.28385.r001		person	correspondedWith	nypl2019.28385.c01	
nypl2019.28384.c01		person	correspondedWith	nypl2019.28384.r001	
nypl2019.28384.c01		person	correspondedWith	nypl2019.28384.r002	
nypl2019.28384.r001		person	correspondedWith	nypl2019.28384.c01	
nypl2019.28384.r002		person	correspondedWith	nypl2019.28384.c01	
nypl2019.29932.c01		person	associatedWith	nypl2019.29932.r001	
nypl2019.29932.r001		person	associatedWith	nypl2019.29932.c01	
nypl2019.29926.c01		person	correspondedWith	nypl2019.29926.r001	
nypl2019.29926.r001		person	correspondedWith	nypl2019.29926.c01	
nypl2019.28386.c01		person	correspondedWith	nypl2019.28386.r001	
nypl2019.28386.r001		person	correspondedWith	nypl2019.28386.c01	
nypl2019.24580.c01		person	associatedWith	nypl2019.24580.r001	
nypl2019.24580.c01		person	associatedWith	nypl2019.24580.r002	
nypl2019.24580.c01		person	associatedWith	nypl2019.24580.r003	
nypl2019.24580.c01		person	associatedWith	nypl2019.24580.r004	
nypl2019.24580.c01		person	associatedWith	nypl2019.24580.r005	
nypl2019.24580.c01		person	associatedWith	nypl2019.24580.r006	
nypl2019.24580.c01		person	associatedWith	nypl2019.24580.r007	
nypl2019.24580.c01		person	associatedWith	nypl2019.24580.r008	
nypl2019.24580.c01		person	associatedWith	nypl2019.24580.r009	
nypl2019.24580.c01		person	associatedWith	nypl2019.24580.r010	
nypl2019.24580.c01		person	associatedWith	nypl2019.24580.r011	
nypl2019.24580.c01		person	associatedWith	nypl2019.24580.r012	
nypl2019.24580.c01		person	associatedWith	nypl2019.24580.r013	
nypl2019.24580.c01		person	associatedWith	nypl2019.24580.r014	
nypl2019.24580.r001		person	associatedWith	nypl2019.24580.c01	
nypl2019.24580.r002		person	associatedWith	nypl2019.24580.c01	
nypl2019.24580.r003		person	associatedWith	nypl2019.24580.c01	
nypl2019.24580.r004		person	associatedWith	nypl2019.24580.c01	
nypl2019.24580.r005		person	associatedWith	nypl2019.24580.c01	
nypl2019.24580.r006		person	associatedWith	nypl2019.24580.c01	
nypl2019.24580.r007		person	associatedWith	nypl2019.24580.c01	
nypl2019.24580.r008		person	associatedWith	nypl2019.24580.c01	
nypl2019.24580.r009		person	associatedWith	nypl2019.24580.c01	
nypl2019.24580.r010		person	associatedWith	nypl2019.24580.c01	
nypl2019.24580.r011		person	associatedWith	nypl2019.24580.c01	
nypl2019.24580.r012		person	associatedWith	nypl2019.24580.c01	
nypl2019.24580.r013		person	associatedWith	nypl2019.24580.c01	
nypl2019.24580.r014		person	associatedWith	nypl2019.24580.c01	
nypl2019.24620.r001		corporateBody	associatedWith	nypl2019.24620.c01	
nypl2019.24620.c01		person	associatedWith	nypl2019.24620.r001	
nypl2019.24618.c01		person	associatedWith	nypl2019.24618.r001	
nypl2019.24618.c01		person	associatedWith	nypl2019.24618.r002	
nypl2019.24618.c01		person	associatedWith	nypl2019.24618.r003	
nypl2019.24618.c01		person	associatedWith	nypl2019.24618.r004	
nypl2019.24618.c01		person	associatedWith	nypl2019.24618.r005	
nypl2019.24618.c01		person	associatedWith	nypl2019.24618.r006	
nypl2019.24618.c01		person	associatedWith	nypl2019.24618.r007	
nypl2019.24618.c01		person	associatedWith	nypl2019.24618.r008	
nypl2019.24618.c01		person	associatedWith	nypl2019.24618.r009	
nypl2019.24618.c01		person	associatedWith	nypl2019.24618.r010	
nypl2019.24618.c01		person	associatedWith	nypl2019.24618.r011	
nypl2019.24618.c01		person	associatedWith	nypl2019.24618.r012	
nypl2019.24618.c01		person	associatedWith	nypl2019.24618.r013	
nypl2019.24618.c01		person	associatedWith	nypl2019.24618.r014	
nypl2019.24618.c01		person	associatedWith	nypl2019.24618.r015	
nypl2019.24618.c01		person	associatedWith	nypl2019.24618.r016	
