CountofExhibtions,ID,MoMACEMSID,ConstituentType,AlphaSortName,DisplayName,FirstName,MiddleName,LastName,Institution,Suffix,Nationality,BeginYear,EndYear,DisplayBio,Gender,VIAFID,WikidataQID,ULANID,SNACID,URL
41,1096,1145,Individual,Clemente Francesco,Francesco Clemente,Francesco,,Clemente,,,Italian,1952,,"Italian, born 1952",Male,61662994,Q698667,500116236,59596051,http://www.moma.org/collection/artists/1145
41,715,745,Individual,Brassaï (Gyula Halász),Brassaï (Gyula Halász),,,Brassaï (Gyula Halász),,,French,1899,1984,"French, born Transylvania. 1899–1984",Male,108228627,Q354804,500000306,6174819,http://www.moma.org/collection/artists/745
41,2215,2309,Individual,Graves Morris,Morris Graves,Morris,,Graves,,,American,1910,2001,"American, 1910–2001",Male,115177006,Q1693440,500010825,28182646,http://www.moma.org/collection/artists/2309
41,292,311,Individual,Balla Giacomo,Giacomo Balla,Giacomo,,Balla,,,Italian,1871,1958,"Italian, 1871–1958",Male,29596654,Q368254,500014876,55010999,http://www.moma.org/collection/artists/311
41,4331,4514,Individual,Pascin Jules,Jules Pascin,Jules,,Pascin,,,American,1885,1930,"American, born Bulgaria. 1885–1930",Male,97262322,Q469063,500028526,18765358,http://www.moma.org/collection/artists/4514
41,4362,4546,Individual,Penck A. R. (Ralf Winkler),A.R. Penck (Ralf Winkler),A.,R.,Penck,,,German,1939,,"German, born 1939",Male,109109654,Q279088,500006352,29006874,http://www.moma.org/collection/artists/4546
41,4036,4197,Individual,Nadelman Elie,Elie Nadelman,Elie,,Nadelman,,,American,1882,1946,"American, born Poland, 1882–1946",Male,47654143,Q1288595,500032388,68619466,http://www.moma.org/collection/artists/4197
40,23900,39630,Individual,D'Amico Victor,Victor D'Amico,Victor,,D'Amico,,,,,,,,33432178,,,5201325,http://www.moma.org/collection/artists/39630
40,27078,13401,Individual,McShine Kynaston L.,Kynaston McShine,Kynaston,,McShine,,,,,,,Male,12357173,,,,
40,27130,25814,Individual,Rose Bernice,Bernice Rose,Bernice,,Rose,,,,,,,,66586984,,,,
40,477,502,Individual,Berman Eugene,Eugene Berman,Eugene,,Berman,,,American,1899,1972,"American, born Russia. 1899–1972",Male,22171039,Q1373050,500028943,38579414,http://www.moma.org/collection/artists/502
40,2516,2623,Individual,Hesse Eva,Eva Hesse,Eva,,Hesse,,,American,1936,1970,"American, born Germany. 1936–1970",Female,71440663,Q215457,500026528,959620,http://www.moma.org/collection/artists/2623
40,2958,3086,Individual,Kiefer Anselm,Anselm Kiefer,Anselm,,Kiefer,,,German,1945,,"German, born 1945",Male,95995437,Q170344,500047395,53629822,http://www.moma.org/collection/artists/3086
40,763,795,Individual,Broodthaers Marcel,Marcel Broodthaers,Marcel,,Broodthaers,,,Belgian,1924,1976,"Belgian, 1924–1976",Male,7387635,Q834926,500004693,67061507,http://www.moma.org/collection/artists/795
40,3621,3774,Individual,Marisol (Marisol Escobar),Marisol (Marisol Escobar),,,Marisol (Marisol Escobar),,,Venezuelan,1930,,"Venezuelan, born France 1930",Female,810752,Q438248,500027334,628758,http://www.moma.org/collection/artists/3774
40,5012,5215,Individual,Schiele Egon,Egon Schiele,Egon,,Schiele,,,Austrian,1890,1918,"Austrian, 1890–1918",Male,41850463,Q44032,500002633,16363365,http://www.moma.org/collection/artists/5215
40,4665,4856,Individual,Reinhardt Ad,Ad Reinhardt,Ad,,Reinhardt,,,American,1913,1967,"American, 1913–1967",Male,51699576,Q345569,500013982,8405365,http://www.moma.org/collection/artists/4856
39,27028,2927,Individual,Johnson Philip,Philip Johnson,Philip,,Johnson,,,American,1906,2005,"American, 1906–2005",Male,108419418,Q183528,500014481,23266092,http://www.moma.org/collection/artists/2927
39,1529,1602,Individual,Dove Arthur,Arthur Dove,Arthur,G.,Dove,,,American,1880,1946,"American, 1880–1946",Male,42647501,Q709461,500018046,68900428,http://www.moma.org/collection/artists/1602
39,1884,1965,Individual,Francis Sam,Sam Francis,Sam,,Francis,,,American,1923,1994,"American, 1923–1994",Male,100187348,Q526470,500115537,54958069,http://www.moma.org/collection/artists/1965
